product_id;onsale_web;price;stock_quantity;stock_status;purchase_price
3847;1;24,2;16;instock;12,88
3849;1;34,3;10;instock;17,54
3850;1;20,8;0;outofstock;10,64
4032;1;14,1;26;instock;6,92
4039;1;46;3;outofstock;23,77
4040;1;34,3;12;instock;18,25
4041;1;32,7;12;instock;17,57
4042;1;31,2;15;instock;15,48
4043;1;60;0;outofstock;29,45
4045;1;42,6;5;instock;22,01
4046;1;80;2;instock;40,92
4047;1;18,3;0;outofstock;9,93
4048;1;22,8;24;instock;11,78
4049;1;19,3;25;instock;10,27
4050;1;21,8;42;instock;11,26
4051;1;7,7;0;outofstock;4,14
4052;1;33,7;0;outofstock;18,11
4053;1;44,3;7;instock;22,2
4054;1;71,6;6;instock;38,47
4055;0;86,1;0;outofstock;37,88
4056;1;12,7;38;instock;6,36
4057;1;8,7;29;instock;4,36
4058;1;8,7;39;instock;4,72
4059;1;8,7;34;instock;4,32
4060;1;11,9;29;instock;6,33
4062;1;11,9;30;instock;6,27
4063;1;14,5;33;instock;7,19
4064;1;14,4;32;instock;7,66
4065;1;19,5;0;outofstock;9,67
4066;1;20,8;27;instock;10,42
4067;1;22;22;instock;11,37
4068;1;16,6;25;instock;8,92
4069;1;60;4;instock;30,07
4070;1;23,4;32;instock;12,21
4071;1;33,2;19;instock;17,15
4072;1;32;8;instock;15,71
4073;1;77,8;8;instock;40,6
4074;1;12,7;30;instock;6,76
4075;1;14,7;35;instock;7,97
4076;1;14,05;32;instock;6,9
4077;1;22,9;34;instock;11,95
4078;1;44;8;instock;22,28
4079;1;37;0;outofstock;19,5
4081;1;39;6;instock;19,14
4083;1;17;21;instock;8,78
4084;1;23,2;23;instock;11,63
4085;1;19;27;instock;9,82
4086;1;16,4;30;instock;8,13
4087;1;14,4;15;instock;7,81
